QUESTION,Grade ,Subject ,CHOICE 1 (Correct),CHOICE 2,CHOICE 3,CHOICE 4,LEARNING TIP,
Which number sentence goes with 9+3=12?,3,Math,12-3=9,9-3=6,12+9=21,3+12=15,The numbers are rearranged,
Order the fractions from greatest to least 3/4  2/5  1/2  2/3.,3,Math,3/4 2/3 1/2 2/5,2/3 3/4 1/2 2/5 ,3/4 2/5 2/3 1/2,1/2 2/3 3/4 2/5,Change the fractions into decimals and put into the order largest to smallest,
Which street has an odd number?,3,Math,29 street,36 street,16 street,48 street,numbers ending in 1 3 5 7 9 are odd numbers,
Claire started her homework at 3:15pm and finished it 35 minutes later.  At what time did she finish?,3,Math,3:50 PM,3:45 PM,4:00 PM,4:10 PM,15+ 35 for the minutes = 3:50pm,
What is the total value of money if you have 2 loonies  1 toonie  3 quaters 3 dimes and 5 nickels?,3,Math,$4.30,$3.65,$4.05,$3.95,Write the value of each coin out and add them together,
Which shape has 6 faces?,3,Math,cube,octagon,sphere,cylinder,draw the shapes and count the number of faces or sides,
Which unit should be used to measure how far a TTC bus travelled in one day?,3,Math,kilometers,meters,grams,centimeters,vechicles travelling is always measured in kilometers,
What is the perimeter of the rectangle shaped school yard if the width is 16m and length is 27m?,3,Math,86m,82m,76m,93m,Multiply the length by 2 multiply the width by 2 and add them together,
The farmer picked 138 apples and 76 peaches.  How many fruits did he pick in total?,3,Math,214,198,241,204,add the numbers together,
At Carols birthday party there were 22 girls and 15 boys. How many children were at the party?,3,Math,37,33,30,35,Add the number of boys and the number of girls together,
David plans to drive 2688km from Toronto to Calgary. He has driven 969km so far. How many more km does he have to drive?,3,Math,1719,1321,1628,1531,Subtract how much he wants to drive from how much he has already driven ,
Vera bought a loaf of bread for $3.35. She paid with a $10.  How much change will she receive?,3,Math,$6.65,$6.70,$6.80,$6.05,Subtract the amount she paid from the amount she was supposed to pay,
Josh practices the drums for 25 minutes everyday. How much time would he spend practicing for 3 days?,3,Math,75 minutes,65 minutes,60 minutes,50 minutes,Multiply the time spent each day by the	number of days	25 x 3,
Kim bought 3 items at the grocery store costing $5.35  $2.10 and $4.88.  How much did she spend in total?,3,Math,$12.33,$11.23,$12.23,$11.62,Add the cost of the 3 items,
Joe's hockey game started at 3:30pm and his game ended 1 hour and 15 minutes later.  What time did the game end?,3,Math,4:45 PM,4:30 PM,5:15 PM,4:15 PM,3+1 for the hour and 30 + 15 for minutes,
Liz went to a fair and bought a book of 40 tickets. Each ride needs 3 or 4 tickets. About how many rides can she go on?,3,Math,10,20,6,8,Divide 40 by 4,
6 x 4=,3,Math,24,12,15,18,6+6+6+6 or 4+4+4+4+4+4,
21 divided by 7=,3,Math,3,2,4,6,how many times do you add 7 to get 21,
A group of children went to the zoo. 6 children were in one van and 5 in the other. If it costs $5 per child how much money did it cost for all the children to get in?,3,Math,$55,$60,$65,$45,Add the number of children. Then multiply by $5 each to determine the cost.,
13 - n = 9.  What is the value of n?,3,Math,4,5,3,2,13-9 to find value of n,
There are 10 flowers in each bunch. You have 4 bunches and 6 individual flowers. How many flowers do you have in total?,3,Math,46,16,60,64,multiply the number of flowers in a bunch by the number of bunches. Then add the number of individual flowers to it,
Which number means 6 thousand 3 hundred and 5?,3,Math,6305,635,6035,6350,Identify which number values are ones tens hundreds and thousands,
There are 72863 people at a football game.  What does the 7 stand for?,3,Math,70 thousands,7 thousands,7 hundreds,7 tens,count the distance from the decimal to find the value of 7,
Which is another way to write 7 + 7 +7,3,Math,7 x 3,7+3,7 x 7x 7,21+7,count how many time 7 is being added to know what 7 is being multiplied by,
If swimming lessons last 30 minutes and Jamie's class started at 3:15pm.  What time were his lessons finished?,3,Math,3:45 PM,3:30 PM,4:00 PM,4:15 PM,Identify which numbers identify the hours and which number identifies the minutes. Add 30 minutes to the digits after the colon: ,
At 8am the temperature was 5 degrees celcius. At 4pm the temperature was 13 degrees celcius. How many degrees did it warm up?,3,Math,8,5,7,3,Subtract original temperature from the final 13-5,
Put the fractions in order from least to greatest: 8/10  1/3  2/5  1/2,3,Math,1/3 2/5 1/2 8/10,1/2 8/10 1/3 2/5,8/10 1/2 1/3 2/5,2/5 1/2 1/3 8/10,Divide the fraction into a decimal by duviding the numerator against the denominator. Order the decimal numbers side by side with the matching fractions.,
Multiply 5 x 4,3,Math,20,1,9,29,Create a multiplication chart which can be used for all these types of equations.Put number 1-50 across the top. Numbers 1 -20 down the side. Under each number across the top multiply by the number on the row as you move down the side.,
There were 520 people in line to buy tickets to the movies. Only 465 people got tickets. How many people did not get a ticket?,3,Math,55,65,60,45,Subtract the amount of people in line from the amount of people who got a ticket,
Mr. Jones has 28 students in his class. He wants to have 4 equal rows of desks. How many desks will be in each row?,3,Math,7,6,8,5,Divide the number of desks by the number of rows    ,
My first name is Bob.  Which word is the noun?,3,Literacy,Bob ,name,my,first,A noun is a person place or thing.,
Where did the ant live?  Which word is the noun?,3,Literacy,ant,live,did,where,A noun is a person place or thing.,
I found a big apple yesterday. Which word is the verb?,3,Literacy,found,big,apple,yesterday,A verb is an action word.,
He ran away from the giant bear. Which word is the verb?,3,Literacy,ran,giant,away,bear,A verb is an action word.,
Which word is the adjective: He looked at his beautiful wife,3,Literacy,beautiful,looked,at,wife,An adjective is a word that describes a noun. Adjectives describe quantity / colour / size / shape and how something feels / sounds /tastes.,
 Which word is the adjective: She walked around the massive garden.,3,Literacy,massive,garden,walked,around,An adjective is a word that describes a noun. Adjectives describe quantity / colour / size / shape and how something feels / sounds /tastes.,
Which word is the pronoun: He walked into the big dark cave.  ,3,Literacy,He,walked,big,dark,A pronoun is a word that can take the place of a noun such as he / she / they / them / it..,
She saw the sunshine through the window.  Which word is the pronoun?,3,Literacy,She,sunshine,through,window,A pronoun is a word that can take the place of a noun such as he / she / they / them / it..,
 Where do the quotation marks belong in this sentence: What are you doing? Sam said.,3,Literacy,"""What are you doing?""","""Sam said.""","""What""","""What are you doing? Sam said.""",Quotation marks start and end around the direct words that are spoken. Put the punctuation like a  question mark exclation point inside the second quotation mark.,
Larry finished his chores. His family ate pizza.  Which sentence uses a joining word to combine the two sentences?,3,Literacy,Larry finished his chores then his family ate pizza.,Larry finished his chores although his family ate pizza.,Larry finished his chores because his family ate pizza.,Larry finished his chores where his family ate pizza.,Use a joining word that indicates time to combine two simple sentences. Words like: first / then / next / before / finally / later.,
The flowers in the vase are colourful.  What type of word is colourful?,3,Literacy,adjective,pronoun,noun,verb,An adjective is a word that describes a noun. Adjectives describe quantity / colour / size / shape and how something feels / sounds /tastes.,
Sally went to the market__   Finish the sentence with the proper punctuation.,3,Literacy,.,!,?,:,Use a period at the end of a statement sentence.,
When is your birthday__  Finish the sentence with the proper punctuation.,3,Literacy,?,.,!,;,Use a question mark at the end of a question sentence.,
Susan saw her ____ brother fall down. Fiil in the blank with an adjective to complete the sentence?,3,Literacy,clumsy,bouncing,pillow,tree,An adjective is a word that describes a noun. Adjectives describe quantity / colour / size / shape and how something feels / sounds /tastes.,
John ____ an apple as he walked to school.  Fill in the blank with a verb to complete the sentence?,3,Literacy,ate,smiled,pretty,mellow,A verb is an action word.,
dog pet Ann her! loves really   Rearrange the words into a proper sentence. ,3,Literacy,Ann really loves her pet dog!,loves pet! really Ann dog her,her! pet Ann dog loves really,Ann loves! her dog really pet,A sentence is a group of words that express a complete thought. When it shows strong feelings or excitement is called an exclamation sentence. It ends with an exclamation point!,
grocery We to store went the.  Rearrange the words into a proper sentence.,3,Literacy,We went to the grocery store.,store went grocery We the to.,the store to went We grocery.,the went grocery We to store.,A sentence is a group of words that express a complete thought. A statement sentence begins with a capital letter and ends with a period. ,
Jessica is ____ than the others in the book club.  Which word fits the sentence?,3,Literacy,smarter,smart,smartest,most smart,A comparative adjective is used to describe which noun is superior to the other noun. For example: better / fastest / smarter / strongest.,
We can play board games. We are waiting for our food. Choose a word to combine these sentences together.,3,Literacy,while,because,until,after,Two sentences can be combined to make one sentence by using the words like because / although / until / after /while.,
Megan ____ making a clay vase.  Which word completes the sentence in the present tense?,3,Literacy,is,has,was,will be,"A linking verb tells what someone or something is was or will be.This tells the present / past /future tense of the sentence. The most common are a form of the verb ""be"" such as am /is /are/was /were /will / be.",
Johnathan was painting a tree yesterday.  What is the linking verb?,3,Literacy,was,painting,Johnathan,yesterday,"A linking verb tells what someone or something is was or will be.This tells the present / past /future tense of the sentence. The most common are a form of the verb ""be"" such as am /is /are/was /were /will / be.",
The man and the dog ___ the bunny behind.  Which word completes the sentence in the past tense?,3,Literacy,left,leave,leaves,leaving,The verb that describes the action in the past tense.,
Bill and Karen shared an ___.  What word best completes the sentence?,3,Literacy,umbrella,pizza,seat,blanket,The article an is used before words that begin with a vowel.,
At the edge of the water Sasha saw a ___.  What word best completes the sentence?,3,Literacy,lobster,octopus,eel,oyster,The article a is used before words that begin with a consonant.,
His family lives in Spain.  What type of word is Spain?,3,Literacy,Proper noun,common noun,pronoun,adjective,A proper noun names a particular person place animal or thing.,
We have a challenging problem to solve.  What is a synonym of challenging?,3,Literacy,hard,ugly,easy,new,A synonym is a word that has a similar meaning.,
They are all such cheerful children.  What is an antonym of cheerful?,3,Literacy,sad,happy,sleepy,ugly,An antonym is a word that has an opposite meaning.,
Chris lost his new ____ at the park. I want to ____ the sunset tonight.  Which word can fit in both sentences?,3,Literacy,watch,book,see,hat,Words can have multiple meanings. Read the word in each sentence to see if it makes sense.,
When writing a story what should you do first?,3,Literacy,Choose a topic,Write a rough draft,Publish your story,Look for mistakes,The first step to writing a story is called pre-writing. That's when you choose a subject and learn all you can about it.,
What are grams pounds and kilograms a measurement of?,3,Science ,Weight,Volume,Shape,Circumference, They measure how heavy something is!,
Temperature is measured with a _________.,3,Science ,Thermometer,Barometer,Ruler,Calculator,"Hint: the prefix ""thermo"" is associated with the word ""heat"". Therefore temperature is measured with a thermometer. ",
A hypothesis is the result you have at the end of an experiment.,3,Science ,False ,True ,,, A hypothesis is the question you ask before you start an experiment!,
While doing an investigation you collect information. What should you do with this information?,3,Science ,Write it or draw it,Just remember It,Tell a friend,Forget it, Always record your information!,
Before an experiment what should you always put on?,3,Science ,Gloves goggles lab coat,Apron oven mitts glasses,Coat glasses hat,Uniform shoes science book, Protective equipment is important for your hands eyes and body!,
To make food a plant uses carbon dioxide water and ______.,3,Science ,Sunlight,Worms,Oxygen,Sugar, The sun is essential for plant survival!,
The process of a seed starting to grow underground is known as _____.,3,Science ,Germination,Growth,Rooting,Pollination, The seed is starting to grow but there is a specific term for this called germination!,
Which is not a part of a flower?,3,Science ,Root,Stigma,Stamen,Petal, The flower is at the top the plant the answer is at the bottom of the plant!,
Plants make food in a process called _______.,3,Science ,Photosynthesis,Reproduction,Germination,Hydration, Plants make their food through a process called photosynthesis where they make sugar from carbon dioxide sunlight and water!,
Which is most likely to happen?,3,Science ,A plant in total darkness will not grow,A plant in full sunlight will not grow,A plant without water will grow,A plant without soil will grow, Remember plants need sunlight nutrients and water to grow!,
Two plants were planted at the same time and have received the same amount of water. One is in full sunlight and the other is in partial sunlight. What best describes the plants?,3,Science ,The plant in full sunlight is growing taller,Both plants are growing at the same height,The plant in partial shade is taller,Neither plant is growing because they have no water, Plants love the sun. The more a plant receives sunlight the more likely it grows faster and taller!,
Gravity and magnetism are examples of non-contact forces.,3,Science ,True ,False ,,, Think about a magnet. Do magnets need to directly touch the object before you can feel the magnetic pull? What about gravity?,
This is required to move an object.,3,Science ,Force,Friction,Motion,Gravity, Force is required to move objects!,
The children are playing tug of war. They both pull on the rope and the rope moves to the left. Are the forces balanced or unbalanced?,3,Science ,Unbalanced,Balanced,,, Balanced forces means objects don't move while unbalanced forces means objects will move.,
A force cannot change the shape of an object.,3,Science ,False ,True ,,, Think about rolling dough does the shape of the dough change as you roll?,
Rubbing two objects together is what creates a buoyancy force.,3,Science ,False ,True ,,, Buoyancy is the ability for objects to float in air or water! Rubbing two objects together creates friction!,
How fast or slow an object is moving measures ________.,3,Science ,Speed,Motion,Shape,Direction,Speed measures how fast or slow an object is moving.,
Erosions landslides and lightning are examples of forces in nature.,3,Science ,True ,False ,,, Forces of nature are naturally occurring events that can affect the environment. Do erosions landslides and lightning occur naturally?,
What is the top layer of soil called?,3,Science ,Topsoil,Subsoil,Bedrock,Humus, The top layer of soil is where most organic matter is found!,
How do living things depend on soil?,3,Science ,Living things depend on soil for both shelter and food,For shelter only,For food only,Living things don't depend on soil, An example is a worm - it finds its food in soil and makes the soil its home!,
Your kitchen scraps can become compost when bacteria and worms decompose them.,3,Science ,True ,False ,,, Bacteria and worms are some of the best decomposers!,
Herbicides pesticides and salt are all necessary to help the soil grow plants better.,3,Science ,False ,True ,,, Herbicides pesticides and salt are all harmful to plants!,
______ is the movement of sediments by wind ice water or gravity.,3,Science ,Erosion,Glacier,Deposition,Subsoil, This process involves the wearing away and transportation of soil!,
Sand is a type of soil.,3,Science ,True ,False ,,, Soil is a natural resource that can vary in texture composition and how fertile it is!,
Which is an example of a natural structure?,3,Science ,Tree,Bookshelf,Bridge,Computer, The options that are not man-made are the ones that are natural (they occur in the environment without our help)!,
What is the relationship between form and function?,3,Science ,How something looks and what it does,What something is made of and where it comes from,How old something is and how it is was built,Where something is and how it moves, Form is what something looks like and function is the job it does.,
How can you increase the strength of a structure?,3,Science ,By using strong materials,By adding more weight to it,By painting it a different colour,By making it smaller, Strength of materials is very important!,
A stable structure is one that can maintain its shape balance and/or stay fixed in one spot when a force is applied to it.,3,Science ,True ,False ,,, Stable structures are able to withstand a lot of force and stay in place!,
When building structures which property is least important to keep in mind when choosing materials?,3,Science ,Colour,Strength,Durability,Flexibility, We need to make sure materials being used for structures are strong durable and flexible!,
What can affect the shape of a structure?,3,Science ,Weather,Music,Exercise,Reading, Think about everyday natural forces that structures experience. For example your house experiences rain and wind. What are these examples of?,
Find the missing number: 4911 = 1 + ____ + 900 + 4000,4,Math,10,1,90,100,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Find the missing number: 1050 = 0 + 50 + _____ + 4,4,Math,1000,100,10,1,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Find the missing number: 1464 = 400 + 1000 + + 60 ________,4,Math,4,40,4000,400,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
What number does this expanded form describe? (6 x 10 000) + (8 x 1000) + (2 x 10),4,Math,68 020,6820,6820,680 020,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
What number does this expanded form describe? (8 x 10 000) + ( 6 x 10),4,Math,80 060,8060,860,60 080,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Round this number to the nearest thousand: 1539,4,Math,2000,1000,1500,200,When assessing a number to be rounded consider if the number is closer to the thousand identified as the first digit in the thousands place or if the hundreds digit is large enough to round up to the next thousand (over 500).,
Round this number to the nearest thousand: 7220,4,Math,7000,6000,5000,8000,When assessing a number to be rounded consider if the number is closer to the thousand identified as the first digit in the thousands place or if the hundreds digit is large enough to round up to the next thousand (over 500).,
Round this number to the nearest hundred: 890,4,Math,900,800,700,600,When assessing a number to be rounded consider if the number is closer to the hundred identified as the first digit in the hundreds place or if the tens digit is large enough to round up to the next hundred (over 50).,
Round this number to the nearest hundred: 520,4,Math,500,600,700,800,When assessing a number to be rounded consider if the number is closer to the hundred identified as the first digit in the hundreds place or if the tens digit is large enough to round up to the next hundred (over 50).,
Find the answer using order of operations: 35 - 20 - 3 - 7 - 1 = ?,4,Math,4,21,22,23,Order of operations means you must follow this order of instructions: paretheses/ brackets - exponents - multiplication - division - addition / subtraction.,
Find the answer using order of operations: 35 - (20 -3 - 7 - 1) = ?,4,Math,26,25,24,23,Order of operations means you must follow this order of instructions: paretheses/ brackets - exponents - multiplication - division - addition / subtraction.,
Find the answer using order of operations: (16 + 28 + 1) - (15 + 21) = ?,4,Math,9,8,7,6,Order of operations means you must follow this order of instructions: paretheses/ brackets - exponents - multiplication - division - addition / subtraction.,
Find the answer using order of operations: 26 - (29 - 18) - 8 + 13 = ?,4,Math,20,21,22,23,Order of operations means you must follow this order of instructions: paretheses/ brackets - exponents - multiplication - division - addition / subtraction.,
Find the answer using order of operations: 6 x (12 - 1 + 9) + 18 + 3 = ?,4,Math,126,130,125,100,Order of operations means you must follow this order of instructions: paretheses/ brackets - exponents - multiplication - division - addition / subtraction.,
Find the answer using order of operations: 4 x 8 - 18 + (8 x 6) - 16 = ?,4,Math,46,40,35,34,Order of operations means you must follow this order of instructions: paretheses/ brackets - exponents - multiplication - division - addition / subtraction.,
Which triangle has three equal sides and three equal angles?,4,Math,Equilateral triangle,Isosceles triangle,Right triangle,Scalene triangle ,The description is the best hint: all three sides and angles are equal!,
Which triangle has a 90 degree angle in it?,4,Math,Right triangle,Isosceles triangle,Equilateral triangle,Scalene triangle ,The description is the best hint: a 90 degree angle is a right angle.,
Which triangle has 2 equal sides and 2 equal angles?,4,Math,Isosceles triangle,Equilateral triangle,Right triangle,Scalene triangle ,Think about the one acute angle that allows for the other two angles to be equal: this makes an iscoscles triangle ,
Which triangle has three different sides and three different angles?,4,Math,Scalene triangle ,Equilateral triangle,Right triangle,Isosceles triangle,The scalene triangle has sides that are 3 different lengths which makes 3 different angles too,
Which angle is larger than 90 degrees?,4,Math,Obtuse angle,Right angle,Acute angle,,A 90 degree angle is a right angle: anything larger than 90 degrees is an obtuse angle and anything smaller than 90 degrees is an acute angle ,
Classify a 45 degree angle,4,Math,Acute angle,Right angle,Obtuse angle,,A 90 degree angle is a right angle: anything larger than 90 degrees is an obtuse angle and anything smaller than 90 degrees is an acute angle ,
Classify a 87 degree angle,4,Math,Acute angle,Right angle,Obtuse angle,,A 90 degree angle is a right angle: anything larger than 90 degrees is an obtuse angle and anything smaller than 90 degrees is an acute angle ,
A 90 degree angle is also known as a:,4,Math,Right angle,Obtuse angle,Acute angle,,A 90 degree angle is a right angle: anything larger than 90 degrees is an obtuse angle and anything smaller than 90 degrees is an acute angle ,
Find the perimeter of this rectangle: 21 mm length and 5 mm width ,4,Math,P= 52mm ,P = 26mm ,P = 25 mm,,You can find the perimeter of a rectangle by using this formula: P = 2 ( L + W) which adds the length and width in the bracket before doubling it ,
Find the perimeter of this rectangle: 14 cm length and 6 cm width ,4,Math,P = 40 cm,P = 20 cm,P = 35 cm,,You can find the perimeter of a rectangle by using this formula: P = 2 ( L + W) which adds the length and width in the bracket before doubling it ,
Find the area of this rectangle: 21 mm length and 5 mm width ,4,Math,A = 105 mm squared ,A = 115 mm squared ,A = 125 mm squared ,,You can find the area of a rectangle by using this formula: P = L x W which MULTIPLIES the length by the width,
Find the area of this rectangle: 14 cm length and 6 cm width ,4,Math,A = 84 cm squared ,A = 94 cm squared ,A = 74 cm squared ,,You can find the area of a rectangle by using this formula: P = L x W which MULTIPLIES the length by the width,
Which quadrant of the coordinate grid would have coordinates (-4 -6)? ,4,Math,4th,2nd,1st,3rd,Each quadrant of the coordinate grid has a different set of coordinate points that can be identified by positive or negative numbers. In this case the 3rd quadrant has a negative x axis and negative y axis. ,
What component of a story does this describe: what the paragraph is mostly about ,4,Literacy,Main idea,Details ,,,In reading comprehension the main idea of a story conveys what the whole paragraph is about ,
What component of a story does this describe: the information that makes the paragraph more interesting ,4,Literacy,Details,Main idea ,,,Details convey the highlights and key factors of a story ,
Rewrite the sentence using present perfect tense: I play tennis,4,Literacy,I have played tennis,I played tennis,I am playing tennis,I will play tennis,The present perfect tense is used for past actions that are related to or continue into the present.,
Rewrite the sentence using present perfect tense: She eats dinner,4,Literacy,She has eaten dinner.,She will eat dinner.,She ate dinner.,She will be eating dinner.,The present perfect tense is used for past actions that are related to or continue into the present.,
Rewrite the sentence using present perfect tense: Anna walks for two hours.,4,Literacy,Anna has walked for two hours.,Anna will walk for two hours.,Anna will be walking for two hours.,,The present perfect tense is used for past actions that are related to or continue into the present.,
Rewrite the sentence using past perfect tense: I saw a bird. ,4,Literacy,I had seen a bird. ,I saw a bird yesterday.,I will see a bird.,,The past perfect is made from the verb had and the past participle of a verb: I had finished the work. She had gone.,
Rewrite the sentence using past perfect tense: The teacher went to class. ,4,Literacy,The teacher had gone to class.,The teacher will go to class.,The teacher is going to class. ,,The past perfect is made from the verb had and the past participle of a verb: I had finished the work. She had gone.,
Rewrite the sentence using past perfect tense: Bob wanted to go to school. ,4,Literacy,Bob had wanted to go to school.,Bob did not want to go to school.,Bob will want to go to school.,,The past perfect is made from the verb had and the past participle of a verb: I had finished the work. She had gone.,
Pronouns: which is the subject / the person completing the action?,4,Literacy,Who,Whom,Whose,,WHO is the subject: also known as the person completing the action. ,
Pronouns: which is the object / the person receiving the action?,4,Literacy,Whom,Who,Whose,,WHOM is the object: also known as the person receiving the action. ,
Pronouns: which term refers to posession?,4,Literacy,Whose,Who,Whom,,WHOSE identifies posession which means something belongs to someone. ,
Choose the sentence with the correct order of adjectives: ,4,Literacy,Five little kids ,Little five kids,,,Adjectives should be ordered as follows: quantity - quality - opinion - size - age - shape - condition - color - origin - purpose,
Choose the sentence with the correct order of adjectives: ,4,Literacy,A handsome young man ,A yound handsome man,,,Adjectives should be ordered as follows: quantity - quality - opinion - size - age - shape - condition - color - origin - purpose,
Choose the sentence with the correct order of adjectives: ,4,Literacy,Three full boxes,Full three boxes,,,Adjectives should be ordered as follows: quantity - quality - opinion - size - age - shape - condition - color - origin - purpose,
Choose the sentence with the correct order of adjectives: ,4,Literacy,Four round red tables,Round four red tables,,,Adjectives should be ordered as follows: quantity - quality - opinion - size - age - shape - condition - color - origin - purpose,
Choose the correct word: _____ time to go to bed now.,4,Literacy,It's,Its,,,IT'S replaces it is as a contraction which combines two words. ITS refers to posession or ownership. ,
Choose the correct word: Look at that dog. ____ very cute.,4,Literacy,It's,Its,,,IT'S replaces it is as a contraction which combines two words. ITS refers to posession or ownership. ,
Choose the correct word: ______ her birthday tomorrow. ,4,Literacy,Its,It's ,,,IT'S replaces it is as a contraction which combines two words. ITS refers to posession or ownership. ,
Choose the correct word: The dog left _____ toy at the park.,4,Literacy,Its,It's ,,,IT'S replaces it is as a contraction which combines two words. ITS refers to posession or ownership. ,
Choose the word that becomes a contraction: are + not,4,Literacy,Aren't ,Isn't ,Can't ,Didn't,A contraction is when two words join together by replacing one letter or more with an apostrophe. ,
Choose the word that becomes a contraction: can + not,4,Literacy,Can't ,Aren't ,Isn't ,Didn't,A contraction is when two words join together by replacing one letter or more with an apostrophe. ,
Choose the word that becomes a contraction: did + not,4,Literacy,Didn't,Couldn't ,Shouldn't ,Aren't ,A contraction is when two words join together by replacing one letter or more with an apostrophe. ,
Choose the word that becomes a contraction: Could + not,4,Literacy,Couldn't ,Aren't ,Isn't ,Didn't,A contraction is when two words join together by replacing one letter or more with an apostrophe. ,
"Which option is not a synonym of the word ""walk""?",4,Literacy,Swim,Stroll,Hike,March,Think about which words share the same meaning. Those are synonyms!,
Which always begins the food chain?,4,Science,Producer,Consumer,Habitat,Carnivore, It is usually a type of organism that can produce its own food through photosynthesis.,
What does a habitat provide for an organism?,4,Science,All of the above,Shelter and Space,Food and Water,Air, A habitat provides an organism with the necessary resources and conditions to survive,
An animal that eats both plants and animals is called a(n),4,Science,Omnivore,Carnivore,Herbivore,Dinosaur, This type of animal is not strictly herbivorous or carnivorous!,
A rabbit is considered to be (a),4,Science,All of the above,Prey,A consumer,A herbivore, Prey are animals that get hunted by predators. Consumers are organisms that depend on other producers or consumers for food. Herbivores are organisms that only eat plants. Which definition(s) apply to a rabbit?,
Different types of bird beaks are considered an example of,4,Science,Physical adaptations,Food webs,Weathering,Learned behaviours, This term refers to the adaptation of an organism's physical features to help in its environment!,
Which organism would most likely come between grass and a snake in the food chain?,4,Science,A mouse,Wheat,A coyote,A human, In a food chain if this animal is BETWEEN the grass and the snake that means that this animal eats the grass and is also eaten by the snake!,
Giraffes eat leaves off of tall trees and eat vegetables and/or fruits. They will never hunt or eat other animals! Giraffes are and example of what?,4,Science,Herbivores,Decomposers,Omnivores,Carnivores, In other words Giraffes only eat plants!,
What travels through a food chain or web?,4,Science,Energy,Helium,Carbon,Nitrogen, It transfers from one organism to the other and you also get this when you consume food!,
Recently a family of bobcats moved into an area with a large rabbit population. What changes may occur in the ecosystem/habitat?,4,Science,The rabbit population may decrease,The rabbit population may increase,The bobcat population may decrease,The bobcat population may increase, Think about the relationship between bobcats and rabbits. Are bobcats carnivores/herbivores/omnivores? Are they predators/prey? How does this affect rabbits?,
Sound and light are types of energy.,4,Science,True ,False ,,, Light and sound are both types of energy!,
A lightbulb is a natural source of light.,4,Science,False ,True ,,, Natural means it's found in nature. Is a light bulb found in nature?,
Fire is a natural source that _____________.,4,Science,Emits light and heat,Emits light but no heat,Emits heat but no light,Emits no light or heat, If you light a match in the dark what happens? Is the fire bright (emitting light) or not? Are the flames of the fire hot or cold?,
What is an example of a translucent object?,4,Science,A frosted window,Glasses,A chair,A pie, Remember than translucent means some light is passed through but you can't see very clearly through it because the light has scattered!,
When light is taken in by an object what does this mean?,4,Science,The light was absorbed,The light was reflected,The light was refracted,The light was transmitted," Another word for ""taken in"" is absorb!",
Light can bend when it travels from one medium to another. What is this called?,4,Science,Refraction,Absorption,Reflection,Transmission, Refraction is when light bends as it changes from one medium to another.,
Your _______ vibrate to make the sound of your voice.,4,Science,Vocal chords,Eardrum,Heart,Brain, You use them these to speak!,
Sounds waves travel through the air and cause the _______ to vibrate and send a message to the brain.,4,Science,Eardrums,Vocal chords,Earwax,Volume, Think about the part of your body responsible for hearing!,
Which of the following is the hardest on Mohs' hardness scale?,4,Science,Diamond,Talc,Gypsum,Quartz, It is a mineral that is commonly used in jewelry!,
Which types of rocks are fossils normally found in?,4,Science,Sedimentary rocks,Igneous rocks,Metamorphic rocks,Magma, Fossils are normally found in rocks formed by sediments that are carried in rivers then deposited in lakes and oceans. Once the sediments are buried they lose water and become cemented to form rock.,
Which of the following is an example of how people use rocks and minerals?,4,Science,All of the above,For building schools,To make floors,To make jewelry, Rocks and minerals are used for all the listed options!,
Which is not a category of rock?,4,Science,Magma/lava,Igneous rocks,Metamorphic rocks,Sedimentary rocks, Rocks can be classified into three main categories based on how they were formed. Rocks are solids!,
_______ rocks are formed when sediments are pressed and cemented together,4,Science,Sedimentary,Igneous,Metamorphic,Magma, Examples include sandstone shale and limestone.,
Metamorphic rocks are rocks that have been changed by heat and pressure.,4,Science,True ,False ,,," To ""metamorph"" means to change the nature or form of one thing into something else!",
Texture shape lustre colour and size are all ways to categorize rocks and minerals.,4,Science,True ,False ,,, All of these are properties that can be used to identify and classify rocks and minerals!,
Sally is observing obsidian with a magnifying glass. Obsidian is an igneous rock and she knows it has many properties. Which is a property of igneous rock?,4,Science,It's formed when magma cools,It's always very soft,It's is made of crushed animal shells bone and teeth,It forms when heat and pressure change other rocks, Igneous rocks are formed through the cooling of a hot substance!,
What is not something you could learn from a fossil?,4,Science,The colour of the organism,The size of the organism,What the organism ate,Where the organism lived, Fossils can provide information about past organisms and the environments they lived in.,
What is the purpose of a sewing machine?,4,Science,To make clothing,To cook food,To wash clothes,To play music, It's a device that uses thread to stitch fabric or other materials together.,
What is the purpose of the blade on a fan? ,4,Science,To cool down the room ,To light up the room ,To make noise ,To clean the room, The blade on a fan helps to create breeze. What does breeze do?,
How does a gear transmit motion? ,4,Science,By rolling/rotating against another gear ,By flying against another gear,By lifting against another gear ,By pulling on another gear, Gears have teeth that fit together and rotate to transmit motion!,
How can a mechanisms transform motion?,4,Science,All of the above,Changing the speed of the motion,Changing the direction of the motion,Changing the plane on which the motion occurs, Mechanisms can transform motion through all these options!,
